Area Type,Area Name,Date,Year,Month,Seasonally Adjusted ,Not Seasonally Adjusted
State,California,01/01/1976,1976,January,0.092,0.104
State,California,02/01/1976,1976,February,0.092,0.101
State,California,03/01/1976,1976,March,0.091,0.094
State,California,04/01/1976,1976,April,0.091,0.088
State,California,05/01/1976,1976,May,0.09,0.079
State,California,06/01/1976,1976,June,0.09,0.09
State,California,07/01/1976,1976,July,0.09,0.095
State,California,08/01/1976,1976,August,0.091,0.091
State,California,09/01/1976,1976,September,0.092,0.088
State,California,10/01/1976,1976,October,0.093,0.088
State,California,11/01/1976,1976,November,0.093,0.093
State,California,12/01/1976,1976,December,0.093,0.09
State,California,01/01/1977,1977,January,0.092,0.099
State,California,02/01/1977,1977,February,0.091,0.099
State,California,03/01/1977,1977,March,0.089,0.093
State,California,04/01/1977,1977,April,0.087,0.085
State,California,05/01/1977,1977,May,0.086,0.076
State,California,06/01/1977,1977,June,0.084,0.086
State,California,07/01/1977,1977,July,0.083,0.086
State,California,08/01/1977,1977,August,0.081,0.082
State,California,09/01/1977,1977,September,0.08,0.078
State,California,10/01/1977,1977,October,0.079,0.074
State,California,11/01/1977,1977,November,0.078,0.078
State,California,12/01/1977,1977,December,0.077,0.071
State,California,01/01/1978,1978,January,0.076,0.083
State,California,02/01/1978,1978,February,0.075,0.081
State,California,03/01/1978,1978,March,0.075,0.079
State,California,04/01/1978,1978,April,0.074,0.072
State,California,05/01/1978,1978,May,0.073,0.066
State,California,06/01/1978,1978,June,0.072,0.071
State,California,07/01/1978,1978,July,0.071,0.077
State,California,08/01/1978,1978,August,0.07,0.069
State,California,09/01/1978,1978,September,0.069,0.066
State,California,10/01/1978,1978,October,0.068,0.063
State,California,11/01/1978,1978,November,0.067,0.065
State,California,12/01/1978,1978,December,0.066,0.064
State,California,01/01/1979,1979,January,0.065,0.071
State,California,02/01/1979,1979,February,0.064,0.07
State,California,03/01/1979,1979,March,0.063,0.067
State,California,04/01/1979,1979,April,0.062,0.061
State,California,05/01/1979,1979,May,0.062,0.055
State,California,06/01/1979,1979,June,0.061,0.061
State,California,07/01/1979,1979,July,0.061,0.064
State,California,08/01/1979,1979,August,0.062,0.063
State,California,09/01/1979,1979,September,0.062,0.059
State,California,10/01/1979,1979,October,0.062,0.059
State,California,11/01/1979,1979,November,0.061,0.06
State,California,12/01/1979,1979,December,0.061,0.058
State,California,01/01/1980,1980,January,0.062,0.068
State,California,02/01/1980,1980,February,0.063,0.068
State,California,03/01/1980,1980,March,0.065,0.066
State,California,04/01/1980,1980,April,0.067,0.066
State,California,05/01/1980,1980,May,0.069,0.065
State,California,06/01/1980,1980,June,0.071,0.072
State,California,07/01/1980,1980,July,0.072,0.076
State,California,08/01/1980,1980,August,0.073,0.073
State,California,09/01/1980,1980,September,0.072,0.068
State,California,10/01/1980,1980,October,0.072,0.068
State,California,11/01/1980,1980,November,0.071,0.07
State,California,12/01/1980,1980,December,0.071,0.065
State,California,01/01/1981,1981,January,0.071,0.079
State,California,02/01/1981,1981,February,0.071,0.078
State,California,03/01/1981,1981,March,0.071,0.074
State,California,04/01/1981,1981,April,0.071,0.069
State,California,05/01/1981,1981,May,0.07,0.066
State,California,06/01/1981,1981,June,0.071,0.071
State,California,07/01/1981,1981,July,0.072,0.074
State,California,08/01/1981,1981,August,0.073,0.071
State,California,09/01/1981,1981,September,0.076,0.072
State,California,10/01/1981,1981,October,0.079,0.075
State,California,11/01/1981,1981,November,0.082,0.081
State,California,12/01/1981,1981,December,0.085,0.083
State,California,01/01/1982,1982,January,0.088,0.095
State,California,02/01/1982,1982,February,0.091,0.097
State,California,03/01/1982,1982,March,0.093,0.097
State,California,04/01/1982,1982,April,0.096,0.096
State,California,05/01/1982,1982,May,0.098,0.092
State,California,06/01/1982,1982,June,0.1,0.099
State,California,07/01/1982,1982,July,0.102,0.106
State,California,08/01/1982,1982,August,0.104,0.101
State,California,09/01/1982,1982,September,0.106,0.101
State,California,10/01/1982,1982,October,0.108,0.104
State,California,11/01/1982,1982,November,0.11,0.109
State,California,12/01/1982,1982,December,0.111,0.109
State,California,01/01/1983,1983,January,0.111,0.117
State,California,02/01/1983,1983,February,0.11,0.116
State,California,03/01/1983,1983,March,0.108,0.111
State,California,04/01/1983,1983,April,0.105,0.104
State,California,05/01/1983,1983,May,0.103,0.098
State,California,06/01/1983,1983,June,0.1,0.102
State,California,07/01/1983,1983,July,0.097,0.098
State,California,08/01/1983,1983,August,0.094,0.093
State,California,09/01/1983,1983,September,0.092,0.088
State,California,10/01/1983,1983,October,0.089,0.085
State,California,11/01/1983,1983,November,0.086,0.084
State,California,12/01/1983,1983,December,0.084,0.082
State,California,01/01/1984,1984,January,0.083,0.089
State,California,02/01/1984,1984,February,0.081,0.087
State,California,03/01/1984,1984,March,0.08,0.084
State,California,04/01/1984,1984,April,0.079,0.079
State,California,05/01/1984,1984,May,0.078,0.073
State,California,06/01/1984,1984,June,0.077,0.075
State,California,07/01/1984,1984,July,0.077,0.08
State,California,08/01/1984,1984,August,0.076,0.076
State,California,09/01/1984,1984,September,0.076,0.073
State,California,10/01/1984,1984,October,0.075,0.072
State,California,11/01/1984,1984,November,0.075,0.072
State,California,12/01/1984,1984,December,0.074,0.071
State,California,01/01/1985,1985,January,0.073,0.081
State,California,02/01/1985,1985,February,0.073,0.078
State,California,03/01/1985,1985,March,0.073,0.076
State,California,04/01/1985,1985,April,0.073,0.072
State,California,05/01/1985,1985,May,0.073,0.068
State,California,06/01/1985,1985,June,0.073,0.073
State,California,07/01/1985,1985,July,0.073,0.076
State,California,08/01/1985,1985,August,0.072,0.07
State,California,09/01/1985,1985,September,0.071,0.069
State,California,10/01/1985,1985,October,0.07,0.068
State,California,11/01/1985,1985,November,0.069,0.068
State,California,12/01/1985,1985,December,0.069,0.065
State,California,01/01/1986,1986,January,0.069,0.071
State,California,02/01/1986,1986,February,0.069,0.076
State,California,03/01/1986,1986,March,0.069,0.073
State,California,04/01/1986,1986,April,0.069,0.068
State,California,05/01/1986,1986,May,0.069,0.065
State,California,06/01/1986,1986,June,0.068,0.068
State,California,07/01/1986,1986,July,0.068,0.07
State,California,08/01/1986,1986,August,0.067,0.065
State,California,09/01/1986,1986,September,0.067,0.065
State,California,10/01/1986,1986,October,0.066,0.064
State,California,11/01/1986,1986,November,0.066,0.065
State,California,12/01/1986,1986,December,0.065,0.061
State,California,01/01/1987,1987,January,0.064,0.07
State,California,02/01/1987,1987,February,0.063,0.069
State,California,03/01/1987,1987,March,0.062,0.065
State,California,04/01/1987,1987,April,0.06,0.059
State,California,05/01/1987,1987,May,0.059,0.056
State,California,06/01/1987,1987,June,0.058,0.057
State,California,07/01/1987,1987,July,0.057,0.059
State,California,08/01/1987,1987,August,0.056,0.055
State,California,09/01/1987,1987,September,0.056,0.053
State,California,10/01/1987,1987,October,0.055,0.053
State,California,11/01/1987,1987,November,0.055,0.054
State,California,12/01/1987,1987,December,0.054,0.05
State,California,01/01/1988,1988,January,0.054,0.06
State,California,02/01/1988,1988,February,0.053,0.059
State,California,03/01/1988,1988,March,0.053,0.056
State,California,04/01/1988,1988,April,0.053,0.051
State,California,05/01/1988,1988,May,0.053,0.051
State,California,06/01/1988,1988,June,0.053,0.052
State,California,07/01/1988,1988,July,0.053,0.056
State,California,08/01/1988,1988,August,0.053,0.053
State,California,09/01/1988,1988,September,0.053,0.049
State,California,10/01/1988,1988,October,0.052,0.049
State,California,11/01/1988,1988,November,0.052,0.051
State,California,12/01/1988,1988,December,0.051,0.048
State,California,01/01/1989,1989,January,0.05,0.057
State,California,02/01/1989,1989,February,0.05,0.054
State,California,03/01/1989,1989,March,0.05,0.051
State,California,04/01/1989,1989,April,0.05,0.05
State,California,05/01/1989,1989,May,0.05,0.047
State,California,06/01/1989,1989,June,0.051,0.051
State,California,07/01/1989,1989,July,0.051,0.054
State,California,08/01/1989,1989,August,0.051,0.049
State,California,09/01/1989,1989,September,0.052,0.049
State,California,10/01/1989,1989,October,0.052,0.048
State,California,11/01/1989,1989,November,0.052,0.051
State,California,12/01/1989,1989,December,0.052,0.049
State,California,01/01/1990,1990,January,0.052,0.057
State,California,02/01/1990,1990,February,0.052,0.056
State,California,03/01/1990,1990,March,0.052,0.054
State,California,04/01/1990,1990,April,0.053,0.054
State,California,05/01/1990,1990,May,0.054,0.051
State,California,06/01/1990,1990,June,0.055,0.053
State,California,07/01/1990,1990,July,0.057,0.059
State,California,08/01/1990,1990,August,0.059,0.058
State,California,09/01/1990,1990,September,0.061,0.059
State,California,10/01/1990,1990,October,0.064,0.06
State,California,11/01/1990,1990,November,0.067,0.065
State,California,12/01/1990,1990,December,0.069,0.066
State,California,01/01/1991,1991,January,0.071,0.076
State,California,02/01/1991,1991,February,0.074,0.08
State,California,03/01/1991,1991,March,0.076,0.08
State,California,04/01/1991,1991,April,0.077,0.074
State,California,05/01/1991,1991,May,0.078,0.076
State,California,06/01/1991,1991,June,0.078,0.078
State,California,07/01/1991,1991,July,0.079,0.081
State,California,08/01/1991,1991,August,0.079,0.077
State,California,09/01/1991,1991,September,0.08,0.077
State,California,10/01/1991,1991,October,0.081,0.077
State,California,11/01/1991,1991,November,0.082,0.08
State,California,12/01/1991,1991,December,0.084,0.081
State,California,01/01/1992,1992,January,0.086,0.093
State,California,02/01/1992,1992,February,0.088,0.095
State,California,03/01/1992,1992,March,0.089,0.092
State,California,04/01/1992,1992,April,0.091,0.087
State,California,05/01/1992,1992,May,0.092,0.089
State,California,06/01/1992,1992,June,0.094,0.096
State,California,07/01/1992,1992,July,0.095,0.098
State,California,08/01/1992,1992,August,0.096,0.095
State,California,09/01/1992,1992,September,0.097,0.095
State,California,10/01/1992,1992,October,0.098,0.092
State,California,11/01/1992,1992,November,0.098,0.097
State,California,12/01/1992,1992,December,0.098,0.095
State,California,01/01/1993,1993,January,0.098,0.104
State,California,02/01/1993,1993,February,0.097,0.104
State,California,03/01/1993,1993,March,0.097,0.1
State,California,04/01/1993,1993,April,0.096,0.095
State,California,05/01/1993,1993,May,0.096,0.092
State,California,06/01/1993,1993,June,0.096,0.096
State,California,07/01/1993,1993,July,0.095,0.098
State,California,08/01/1993,1993,August,0.095,0.093
State,California,09/01/1993,1993,September,0.094,0.091
State,California,10/01/1993,1993,October,0.094,0.092
State,California,11/01/1993,1993,November,0.093,0.091
State,California,12/01/1993,1993,December,0.093,0.087
State,California,01/01/1994,1994,January,0.093,0.1
State,California,02/01/1994,1994,February,0.092,0.098
State,California,03/01/1994,1994,March,0.091,0.095
State,California,04/01/1994,1994,April,0.09,0.089
State,California,05/01/1994,1994,May,0.089,0.083
State,California,06/01/1994,1994,June,0.087,0.087
State,California,07/01/1994,1994,July,0.086,0.09
State,California,08/01/1994,1994,August,0.085,0.085
State,California,09/01/1994,1994,September,0.084,0.081
State,California,10/01/1994,1994,October,0.082,0.079
State,California,11/01/1994,1994,November,0.08,0.078
State,California,12/01/1994,1994,December,0.079,0.074
State,California,01/01/1995,1995,January,0.078,0.085
State,California,02/01/1995,1995,February,0.078,0.081
State,California,03/01/1995,1995,March,0.078,0.08
State,California,04/01/1995,1995,April,0.078,0.08
State,California,05/01/1995,1995,May,0.079,0.076
State,California,06/01/1995,1995,June,0.08,0.079
State,California,07/01/1995,1995,July,0.08,0.083
State,California,08/01/1995,1995,August,0.08,0.079
State,California,09/01/1995,1995,September,0.079,0.077
State,California,10/01/1995,1995,October,0.079,0.075
State,California,11/01/1995,1995,November,0.079,0.077
State,California,12/01/1995,1995,December,0.079,0.074
State,California,01/01/1996,1996,January,0.078,0.085
State,California,02/01/1996,1996,February,0.078,0.081
State,California,03/01/1996,1996,March,0.077,0.08
State,California,04/01/1996,1996,April,0.076,0.075
State,California,05/01/1996,1996,May,0.075,0.072
State,California,06/01/1996,1996,June,0.074,0.072
State,California,07/01/1996,1996,July,0.072,0.077
State,California,08/01/1996,1996,August,0.071,0.069
State,California,09/01/1996,1996,September,0.071,0.068
State,California,10/01/1996,1996,October,0.07,0.067
State,California,11/01/1996,1996,November,0.07,0.069
State,California,12/01/1996,1996,December,0.07,0.066
State,California,01/01/1997,1997,January,0.069,0.075
State,California,02/01/1997,1997,February,0.068,0.072
State,California,03/01/1997,1997,March,0.067,0.07
State,California,04/01/1997,1997,April,0.066,0.064
State,California,05/01/1997,1997,May,0.065,0.06
State,California,06/01/1997,1997,June,0.064,0.064
State,California,07/01/1997,1997,July,0.063,0.066
State,California,08/01/1997,1997,August,0.062,0.062
State,California,09/01/1997,1997,September,0.062,0.061
State,California,10/01/1997,1997,October,0.061,0.058
State,California,11/01/1997,1997,November,0.061,0.058
State,California,12/01/1997,1997,December,0.061,0.058
State,California,01/01/1998,1998,January,0.06,0.066
State,California,02/01/1998,1998,February,0.06,0.064
State,California,03/01/1998,1998,March,0.06,0.065
State,California,04/01/1998,1998,April,0.06,0.056
State,California,05/01/1998,1998,May,0.059,0.055
State,California,06/01/1998,1998,June,0.059,0.06
State,California,07/01/1998,1998,July,0.06,0.062
State,California,08/01/1998,1998,August,0.06,0.06
State,California,09/01/1998,1998,September,0.06,0.058
State,California,10/01/1998,1998,October,0.059,0.058
State,California,11/01/1998,1998,November,0.058,0.057
State,California,12/01/1998,1998,December,0.057,0.054
State,California,01/01/1999,1999,January,0.056,0.061
State,California,02/01/1999,1999,February,0.055,0.06
State,California,03/01/1999,1999,March,0.055,0.057
State,California,04/01/1999,1999,April,0.054,0.053
State,California,05/01/1999,1999,May,0.053,0.048
State,California,06/01/1999,1999,June,0.053,0.053
State,California,07/01/1999,1999,July,0.052,0.056
State,California,08/01/1999,1999,August,0.052,0.051
State,California,09/01/1999,1999,September,0.051,0.05
State,California,10/01/1999,1999,October,0.051,0.048
State,California,11/01/1999,1999,November,0.05,0.049
State,California,12/01/1999,1999,December,0.05,0.047
State,California,01/01/2000,2000,January,0.05,0.054
State,California,02/01/2000,2000,February,0.05,0.053
State,California,03/01/2000,2000,March,0.05,0.053
State,California,04/01/2000,2000,April,0.05,0.047
State,California,05/01/2000,2000,May,0.05,0.047
State,California,06/01/2000,2000,June,0.05,0.05
State,California,07/01/2000,2000,July,0.05,0.052
State,California,08/01/2000,2000,August,0.049,0.05
State,California,09/01/2000,2000,September,0.048,0.046
State,California,10/01/2000,2000,October,0.048,0.045
State,California,11/01/2000,2000,November,0.048,0.047
State,California,12/01/2000,2000,December,0.048,0.044
State,California,01/01/2001,2001,January,0.048,0.053
State,California,02/01/2001,2001,February,0.048,0.051
State,California,03/01/2001,2001,March,0.049,0.053
State,California,04/01/2001,2001,April,0.05,0.049
State,California,05/01/2001,2001,May,0.051,0.046
State,California,06/01/2001,2001,June,0.052,0.053
State,California,07/01/2001,2001,July,0.054,0.056
State,California,08/01/2001,2001,August,0.056,0.057
State,California,09/01/2001,2001,September,0.059,0.055
State,California,10/01/2001,2001,October,0.061,0.059
State,California,11/01/2001,2001,November,0.063,0.062
State,California,12/01/2001,2001,December,0.065,0.062
State,California,01/01/2002,2002,January,0.066,0.071
State,California,02/01/2002,2002,February,0.067,0.069
State,California,03/01/2002,2002,March,0.067,0.07
State,California,04/01/2002,2002,April,0.067,0.067
State,California,05/01/2002,2002,May,0.068,0.063
State,California,06/01/2002,2002,June,0.068,0.069
State,California,07/01/2002,2002,July,0.068,0.07
State,California,08/01/2002,2002,August,0.067,0.068
State,California,09/01/2002,2002,September,0.068,0.064
State,California,10/01/2002,2002,October,0.068,0.065
State,California,11/01/2002,2002,November,0.068,0.068
State,California,12/01/2002,2002,December,0.069,0.068
State,California,01/01/2003,2003,January,0.069,0.074
State,California,02/01/2003,2003,February,0.069,0.072
State,California,03/01/2003,2003,March,0.069,0.072
State,California,04/01/2003,2003,April,0.07,0.068
State,California,05/01/2003,2003,May,0.07,0.065
State,California,06/01/2003,2003,June,0.07,0.073
State,California,07/01/2003,2003,July,0.07,0.072
State,California,08/01/2003,2003,August,0.07,0.069
State,California,09/01/2003,2003,September,0.069,0.066
State,California,10/01/2003,2003,October,0.068,0.066
State,California,11/01/2003,2003,November,0.067,0.067
State,California,12/01/2003,2003,December,0.066,0.063
State,California,01/01/2004,2004,January,0.066,0.07
State,California,02/01/2004,2004,February,0.065,0.068
State,California,03/01/2004,2004,March,0.065,0.07
State,California,04/01/2004,2004,April,0.064,0.062
State,California,05/01/2004,2004,May,0.064,0.059
State,California,06/01/2004,2004,June,0.063,0.064
State,California,07/01/2004,2004,July,0.062,0.065
State,California,08/01/2004,2004,August,0.061,0.06
State,California,09/01/2004,2004,September,0.06,0.057
State,California,10/01/2004,2004,October,0.059,0.057
State,California,11/01/2004,2004,November,0.059,0.058
State,California,12/01/2004,2004,December,0.058,0.056
State,California,01/01/2005,2005,January,0.058,0.061
State,California,02/01/2005,2005,February,0.057,0.061
State,California,03/01/2005,2005,March,0.056,0.059
State,California,04/01/2005,2005,April,0.055,0.053
State,California,05/01/2005,2005,May,0.054,0.05
State,California,06/01/2005,2005,June,0.053,0.054
State,California,07/01/2005,2005,July,0.053,0.055
State,California,08/01/2005,2005,August,0.053,0.052
State,California,09/01/2005,2005,September,0.052,0.05
State,California,10/01/2005,2005,October,0.052,0.049
State,California,11/01/2005,2005,November,0.052,0.052
State,California,12/01/2005,2005,December,0.051,0.049
State,California,01/01/2006,2006,January,0.05,0.053
State,California,02/01/2006,2006,February,0.05,0.053
State,California,03/01/2006,2006,March,0.049,0.052
State,California,04/01/2006,2006,April,0.049,0.048
State,California,05/01/2006,2006,May,0.049,0.045
State,California,06/01/2006,2006,June,0.049,0.049
State,California,07/01/2006,2006,July,0.049,0.052
State,California,08/01/2006,2006,August,0.049,0.05
State,California,09/01/2006,2006,September,0.049,0.046
State,California,10/01/2006,2006,October,0.049,0.044
State,California,11/01/2006,2006,November,0.049,0.047
State,California,12/01/2006,2006,December,0.049,0.047
State,California,01/01/2007,2007,January,0.049,0.054
State,California,02/01/2007,2007,February,0.05,0.053
State,California,03/01/2007,2007,March,0.05,0.052
State,California,04/01/2007,2007,April,0.051,0.05
State,California,05/01/2007,2007,May,0.051,0.047
State,California,06/01/2007,2007,June,0.052,0.053
State,California,07/01/2007,2007,July,0.053,0.057
State,California,08/01/2007,2007,August,0.054,0.054
State,California,09/01/2007,2007,September,0.055,0.053
State,California,10/01/2007,2007,October,0.057,0.054
State,California,11/01/2007,2007,November,0.057,0.055
State,California,12/01/2007,2007,December,0.058,0.058
State,California,01/01/2008,2008,January,0.059,0.064
State,California,02/01/2008,2008,February,0.06,0.063
State,California,03/01/2008,2008,March,0.062,0.065
State,California,04/01/2008,2008,April,0.064,0.061
State,California,05/01/2008,2008,May,0.067,0.064
State,California,06/01/2008,2008,June,0.07,0.07
State,California,07/01/2008,2008,July,0.073,0.076
State,California,08/01/2008,2008,August,0.076,0.078
State,California,09/01/2008,2008,September,0.08,0.077
State,California,10/01/2008,2008,October,0.084,0.08
State,California,11/01/2008,2008,November,0.088,0.084
State,California,12/01/2008,2008,December,0.093,0.091
State,California,01/01/2009,2009,January,0.099,0.105
State,California,02/01/2009,2009,February,0.104,0.109
State,California,03/01/2009,2009,March,0.108,0.112
State,California,04/01/2009,2009,April,0.112,0.108
State,California,05/01/2009,2009,May,0.114,0.11
State,California,06/01/2009,2009,June,0.117,0.118
State,California,07/01/2009,2009,July,0.118,0.121
State,California,08/01/2009,2009,August,0.12,0.12
State,California,09/01/2009,2009,September,0.121,0.119
State,California,10/01/2009,2009,October,0.123,0.121
State,California,11/01/2009,2009,November,0.124,0.12
State,California,12/01/2009,2009,December,0.125,0.122
State,California,01/01/2010,2010,January,0.126,0.131
State,California,02/01/2010,2010,February,0.126,0.13
State,California,03/01/2010,2010,March,0.126,0.13
State,California,04/01/2010,2010,April,0.125,0.123
State,California,05/01/2010,2010,May,0.125,0.119
State,California,06/01/2010,2010,June,0.124,0.123
State,California,07/01/2010,2010,July,0.123,0.127
State,California,08/01/2010,2010,August,0.124,0.125
State,California,09/01/2010,2010,September,0.124,0.121
State,California,10/01/2010,2010,October,0.124,0.121
State,California,11/01/2010,2010,November,0.124,0.125
State,California,12/01/2010,2010,December,0.124,0.122
State,California,01/01/2011,2011,January,0.123,0.127
State,California,02/01/2011,2011,February,0.122,0.124
State,California,03/01/2011,2011,March,0.121,0.123
State,California,04/01/2011,2011,April,0.12,0.117
State,California,05/01/2011,2011,May,0.12,0.115
State,California,06/01/2011,2011,June,0.12,0.122
State,California,07/01/2011,2011,July,0.12,0.124
State,California,08/01/2011,2011,August,0.119,0.121
State,California,09/01/2011,2011,September,0.118,0.117
State,California,10/01/2011,2011,October,0.116,0.114
State,California,11/01/2011,2011,November,0.115,0.111
State,California,12/01/2011,2011,December,0.113,0.112
State,California,01/01/2012,2012,January,0.112,0.115
State,California,02/01/2012,2012,February,0.11,0.114
State,California,03/01/2012,2012,March,0.11,0.112
State,California,04/01/2012,2012,April,0.109,0.104
State,California,05/01/2012,2012,May,0.108,0.103
State,California,06/01/2012,2012,June,0.107,0.109
State,California,07/01/2012,2012,July,0.105,0.111
State,California,08/01/2012,2012,August,0.103,0.106
State,California,09/01/2012,2012,September,0.102,0.098
State,California,10/01/2012,2012,October,0.1,0.098
State,California,11/01/2012,2012,November,0.099,0.095
State,California,12/01/2012,2012,December,0.098,0.097
State,California,01/01/2013,2013,January,0.097,0.103
State,California,02/01/2013,2013,February,0.095,0.098
State,California,03/01/2013,2013,March,0.094,0.095
State,California,04/01/2013,2013,April,0.093,0.088
State,California,05/01/2013,2013,May,0.092,0.087
State,California,06/01/2013,2013,June,0.091,0.094
State,California,07/01/2013,2013,July,0.09,0.094
State,California,08/01/2013,2013,August,0.089,0.09
State,California,09/01/2013,2013,September,0.088,0.086
State,California,10/01/2013,2013,October,0.086,0.086
State,California,11/01/2013,2013,November,0.085,0.083
State,California,12/01/2013,2013,December,0.084,0.08
State,California,01/01/2014,2014,January,0.082,0.085
State,California,02/01/2014,2014,February,0.081,0.084
State,California,03/01/2014,2014,March,0.08,0.084
State,California,04/01/2014,2014,April,0.078,0.073
State,California,05/01/2014,2014,May,0.077,0.073
State,California,06/01/2014,2014,June,0.076,0.076
State,California,07/01/2014,2014,July,0.075,0.08
State,California,08/01/2014,2014,August,0.074,0.077
State,California,09/01/2014,2014,September,0.073,0.071
State,California,10/01/2014,2014,October,0.072,0.069
State,California,11/01/2014,2014,November,0.071,0.069
State,California,12/01/2014,2014,December,0.069,0.066
State,California,01/01/2015,2015,January,0.068,0.073
State,California,02/01/2015,2015,February,0.067,0.069
State,California,03/01/2015,2015,March,0.066,0.068
State,California,04/01/2015,2015,April,0.065,0.062
State,California,05/01/2015,2015,May,0.064,0.062
State,California,06/01/2015,2015,June,0.063,0.064
State,California,07/01/2015,2015,July,0.062,0.066
State,California,08/01/2015,2015,August,0.06,0.061
State,California,09/01/2015,2015,September,0.059,0.057
State,California,10/01/2015,2015,October,0.058,0.057
State,California,11/01/2015,2015,November,0.058,0.057
State,California,12/01/2015,2015,December,0.057,0.056
State,California,01/01/2016,2016,January,0.057,0.059
State,California,02/01/2016,2016,February,0.056,0.058
State,California,03/01/2016,2016,March,0.056,0.059
State,California,04/01/2016,2016,April,0.055,0.054
State,California,05/01/2016,2016,May,0.055,0.05
State,California,06/01/2016,2016,June,0.055,0.057
State,California,07/01/2016,2016,July,0.055,0.058
State,California,08/01/2016,2016,August,0.055,0.056
State,California,09/01/2016,2016,September,0.055,0.054
State,California,10/01/2016,2016,October,0.055,0.053
State,California,11/01/2016,2016,November,0.054,0.051
State,California,12/01/2016,2016,December,0.054,0.052
State,California,01/01/2017,2017,January,0.052,0.057
State,California,02/01/2017,2017,February,0.051,0.055
State,California,03/01/2017,2017,March,0.05,0.052
State,California,04/01/2017,2017,April,0.05,0.047
State,California,05/01/2017,2017,May,0.049,0.044
State,California,06/01/2017,2017,June,0.049,0.049
State,California,07/01/2017,2017,July,0.048,0.052
State,California,08/01/2017,2017,August,0.048,0.051
State,California,09/01/2017,2017,September,0.047,0.045
State,California,10/01/2017,2017,October,0.046,0.043
State,California,11/01/2017,2017,November,0.045,0.043
State,California,12/01/2017,2017,December,0.045,0.043
State,California,01/01/2018,2018,January,0.044,0.048
State,California,02/01/2018,2018,February,0.043,0.047
State,California,03/01/2018,2018,March,0.043,0.045
State,California,04/01/2018,2018,April,0.042,0.041
State,California,05/01/2018,2018,May,0.042,0.037
State,California,06/01/2018,2018,June,0.042,0.044
State,California,07/01/2018,2018,July,0.042,0.045
State,California,08/01/2018,2018,August,0.042,0.044
State,California,09/01/2018,2018,September,0.042,0.039
State,California,10/01/2018,2018,October,0.043,0.04
State,California,11/01/2018,2018,November,0.043,0.039
State,California,12/01/2018,2018,December,0.043,0.042
State,California,01/01/2019,2019,January,0.043,0.049
State,California,02/01/2019,2019,February,0.042,0.044
State,California,03/01/2019,2019,March,0.042,0.045
State,California,04/01/2019,2019,April,0.041,0.038
State,California,05/01/2019,2019,May,0.041,0.037
State,California,06/01/2019,2019,June,0.04,0.042
State,California,07/01/2019,2019,July,0.04,0.044
State,California,08/01/2019,2019,August,0.041,0.042
State,California,09/01/2019,2019,September,0.041,0.037
State,California,10/01/2019,2019,October,0.041,0.038
State,California,11/01/2019,2019,November,0.041,0.038
State,California,12/01/2019,2019,December,0.041,0.039
State,California,01/01/2020,2020,January,0.041,0.044
State,California,02/01/2020,2020,February,0.041,0.042
State,California,03/01/2020,2020,March,0.055,0.063
State,California,04/01/2020,2020,April,0.159,0.156
State,California,05/01/2020,2020,May,0.161,0.16
State,California,06/01/2020,2020,June,0.141,0.142
State,California,07/01/2020,2020,July,0.134,0.139
State,California,08/01/2020,2020,August,0.119,0.119
State,California,09/01/2020,2020,September,0.103,0.101
State,California,10/01/2020,2020,October,0.095,0.09
State,California,11/01/2020,2020,November,0.092,0.088
State,California,12/01/2020,2020,December,0.092,0.09
State,California,01/01/2021,2021,January,0.088,0.092
State,California,02/01/2021,2021,February,0.086,0.089
State,California,03/01/2021,2021,March,0.084,0.086
State,California,04/01/2021,2021,April,0.083,0.083
State,California,05/01/2021,2021,May,0.079,0.076
State,California,06/01/2021,2021,June,0.079,0.082
State,California,07/01/2021,2021,July,0.074,0.078
State,California,08/01/2021,2021,August,0.07,0.072
State,California,09/01/2021,2021,September,0.064,0.061
State,California,10/01/2021,2021,October,0.061,0.058
State,California,11/01/2021,2021,November,0.058,0.052
State,California,12/01/2021,2021,December,0.058,0.048
State,California,01/01/2022,2022,January,0.057,0.055
